Pair,Year,Cointegration Ratio
"['NEE', 'WFC']",2023,0.0934
"['RIOT', 'SNAP']",2023,0.0934
"['BAC', 'INTC']",2023,0.0933
"['CSCO', 'PFE']",2023,0.0933
"['BABA', 'WMT']",2023,0.0932
"['CSCO', 'SNAP']",2023,0.0932
"['PFE', 'VZ']",2023,0.0932
"['SNAP', 'WMT']",2023,0.093009300930093
"['BAC', 'RIVN']",2023,0.093009300930093
"['CCL', 'GOOG']",2023,0.093
"['GOOGL', 'RIOT']",2023,0.093
"['VZ', 'WFC']",2023,0.093
"['C', 'F']",2023,0.09291858371674334
"['GOOG', 'VZ']",2023,0.0929
"['C', 'VZ']",2023,0.0929
"['BAC', 'UBER']",2023,0.0929
"['C', 'PLTR']",2023,0.0928485576923077
"['C', 'SNAP']",2023,0.0928092809280928
"['C', 'RIOT']",2023,0.09280416917217879
"['CSCO', 'T']",2023,0.0928
"['BAC', 'COIN']",2023,0.0928
"['VZ', 'XOM']",2023,0.0928
"['CSCO', 'MARA']",2023,0.09275565339203522
"['CCL', 'CVX']",2023,0.0927092709270927
"['AAPL', 'UBER']",2023,0.0927092709270927
"['PFE', 'WMT']",2023,0.0927
"['AMZN', 'SQ']",2023,0.0927
"['GOOG', 'WBA']",2023,0.0927
"['GOOG', 'RIVN']",2023,0.0926
"['CVX', 'TSLA']",2023,0.09255734749073424
"['GOOG', 'PLTR']",2023,0.0925
"['C', 'GOOG']",2023,0.0924092409240924
"['PYPL', 'RIOT']",2023,0.0924
"['RIOT', 'TSLA']",2023,0.0924
"['CVX', 'VZ']",2023,0.0924
"['INTC', 'UBER']",2023,0.0924
"['CSCO', 'RIOT']",2023,0.09232769830949285
"['SNAP', 'WFC']",2023,0.0923
"['BABA', 'WBA']",2023,0.0923
"['C', 'GOOGL']",2023,0.0922092209220922
"['PFE', 'TSLA']",2023,0.0922
"['SQ', 'UBER']",2023,0.0922
"['WBA', 'WMT']",2023,0.0922
"['AMD', 'PLTR']",2023,0.0922
"['JPM', 'UBER']",2023,0.0922
"['INTC', 'VZ']",2023,0.0921
"['INTC', 'SHOP']",2023,0.0921
"['JPM', 'T']",2023,0.0921
"['MU', 'SNAP']",2023,0.0921
"['PLTR', 'WMT']",2023,0.09207365892714171
"['AAPL', 'COIN']",2023,0.092
"['AAPL', 'GOOGL']",2023,0.092
"['GOOGL', 'SQ']",2023,0.092
"['AMZN', 'PLTR']",2023,0.092
"['CVX', 'INTC']",2023,0.092
"['MARA', 'PLTR']",2023,0.0919
"['GOOGL', 'UBER']",2023,0.0919
"['CSCO', 'INTC']",2023,0.0919
"['MU', 'SHOP']",2023,0.0919
"['BABA', 'CSCO']",2023,0.0918
"['NEE', 'PFE']",2023,0.0918
"['PFE', 'WFC']",2023,0.0918
"['PYPL', 'SQ']",2023,0.0918
"['PLTR', 'XOM']",2023,0.09174587293646823
"['GOOGL', 'NEE']",2023,0.09171834366873374
"['CCL', 'SQ']",2023,0.0917
"['JPM', 'WBA']",2023,0.0917
"['GOOG', 'MARA']",2023,0.0917
"['AMZN', 'XOM']",2023,0.09160916091609161
"['BABA', 'XOM']",2023,0.0916
"['GOOG', 'INTC']",2023,0.0916
"['RIVN', 'SQ']",2023,0.0916
"['C', 'INTC']",2023,0.09151830366073214
"['C', 'PFE']",2023,0.09150915091509151
"['AMZN', 'COIN']",2023,0.0915
"['BABA', 'MARA']",2023,0.0915
"['GOOGL', 'PFE']",2023,0.0915
"['INTC', 'RIVN']",2023,0.0915
"['RIVN', 'SHOP']",2023,0.0914
"['CSCO', 'WBA']",2023,0.0914
"['JPM', 'MU']",2023,0.0914
"['CSCO', 'MU']",2023,0.0913
"['INTC', 'MARA']",2023,0.0913
"['WMT', 'XOM']",2023,0.0913
"['AAPL', 'MARA']",2023,0.0913
"['PYPL', 'RIVN']",2023,0.09121824364872974
"['SHOP', 'SNAP']",2023,0.0912
"['AMZN', 'F']",2023,0.0912
"['CVX', 'PYPL']",2023,0.0912
"['WBA', 'XOM']",2023,0.0912
"['CSCO', 'WMT']",2023,0.0911
"['MU', 'T']",2023,0.0911
"['RIVN', 'UBER']",2023,0.091
"['INTC', 'PFE']",2023,0.091
"['INTC', 'PLTR']",2023,0.091
"['AAPL', 'CCL']",2023,0.091
"['C', 'CCL']",2023,0.09092727818345504
"['COIN', 'SQ']",2023,0.09090909090909091
"['C', 'WMT']",2023,0.09090909090909091
"['BAC', 'GOOG']",2023,0.0909
"['BABA', 'CVX']",2023,0.0909
"['INTC', 'SQ']",2023,0.0909
"['AAPL', 'RIOT']",2023,0.0908
"['GOOGL', 'WMT']",2023,0.0908
"['C', 'MU']",2023,0.0908
"['COIN', 'NEE']",2023,0.0907635344741319
"['CVX', 'T']",2023,0.09070907090709071
"['BABA', 'T']",2023,0.0907
"['BABA', 'MU']",2023,0.0907
"['SQ', 'VZ']",2023,0.0907
"['NEE', 'PYPL']",2023,0.09061812362472495
"['CVX', 'MARA']",2023,0.09061780314408731
"['CCL', 'CSCO']",2023,0.09054527263631816
"['UBER', 'VZ']",2023,0.0905
"['MARA', 'SQ']",2023,0.0905
"['CSCO', 'GOOG']",2023,0.0905
"['PYPL', 'XOM']",2023,0.0905
"['RIVN', 'SNAP']",2023,0.0904
"['AMZN', 'VZ']",2023,0.0904
"['BABA', 'RIVN']",2023,0.0904
"['AAPL', 'SNAP']",2023,0.0904
"['CSCO', 'PLTR']",2023,0.09037229783827061
"['MARA', 'PYPL']",2023,0.09031806361272254
"['BABA', 'PYPL']",2023,0.0903
"['AMZN', 'BABA']",2023,0.0903
"['GOOGL', 'T']",2023,0.0903
"['PFE', 'RIVN']",2023,0.0903
"['BABA', 'UBER']",2023,0.0902
"['PLTR', 'T']",2023,0.0902
"['AMZN', 'GOOG']",2023,0.0902
"['SHOP', 'VZ']",2023,0.0901
"['PFE', 'PLTR']",2023,0.0901
"['C', 'UBER']",2023,0.0901
"['SHOP', 'UBER']",2023,0.0901
"['C', 'RIVN']",2023,0.0900810729656691
"['PYPL', 'T']",2023,0.09
"['AAPL', 'BABA']",2023,0.09
"['CSCO', 'SHOP']",2023,0.09
"['CSCO', 'RIVN']",2023,0.0899629740818573
"['CCL', 'WMT']",2023,0.08995397238343006
"['BABA', 'C']",2023,0.08992697809342803
"['BABA', 'INTC']",2023,0.0899
"['AAPL', 'T']",2023,0.0899
"['RIOT', 'SHOP']",2023,0.0899
"['GOOGL', 'MARA']",2023,0.0899
"['SQ', 'WMT']",2023,0.0898
"['AAPL', 'SQ']",2023,0.0898
"['AMZN', 'PFE']",2023,0.0898
"['CCL', 'VZ']",2023,0.0898
"['CVX', 'PFE']",2023,0.0898
"['C', 'TSLA']",2023,0.08976157082748948
